id;ovepg
8561108905;0
8561108906;0
8561108907;0
8561108908;96
8561109301;0
8561109303;0
8561109304;0
8561109305;0
8561109307;0
8561109403;0
8561109404;0
8561109405;0
8561109406;0
8561109407;108
8561109701;0
8561109704;0
8561109707;0
8561109901;0
8561109902;0
8561109903;48
8561109904;60
8561109905;0
8561109906;0
8561109908;0
8561109909;0
8561110201;1164
8561110202;48
8561110203;0
8561110206;0
8561110207;0
8561110208;324
8561110301;0
8561110302;72
8561110303;36
8561110304;0
8561110305;0
8561110401;0
8561110402;0
8561110403;0
8561110601;0
8561110603;0
8561110604;60
8561110605;0
8561110801;0
8561110802;12
8561110803;0
8561110804;24
8561111001;108
8561111003;0
8561111004;0
8561111006;0
8561111101;0
8561111105;0
8561111106;0
8561111107;0
8561111108;0
8561111601;0
8561111602;0
8561111603;0
8561111701;60
8561111702;120
8561111703;0
8561111801;0
8561111802;0
8561112501;0
8561112502;36
8561112504;60
8561112505;0
8561112506;24
8561113101;0
8561113103;24
8561113104;324
8561113302;1068
8561113303;156
8561113304;1512
8561113601;144
8561113602;408
8561113603;0
8561113604;0
8561113605;0
8561113701;2100
8561113702;612
8561113704;156
8561113705;228
8561113706;0
8561113801;12
8561113802;24
8561113803;60
8561114002;180
8561114003;0
8561114302;0
8561114501;432
8561114502;984
8561115501;0
8561116501;204
8561116502;492
8561116601;48
8561116602;0
8561116603;756
8561116604;12
8561116605;84
8561116801;2112
8561116802;0
8561116804;2304
8561116805;0
8561116806;0
8561116808;0
8561117401;0
8561117402;0
8561117403;0
8561117404;0
8561117405;36
8561117701;2916
8561117702;348
8561118001;456
8561118002;1956
8561118004;0
8561118101;0
8561118102;24
8561118105;0
8561118201;0
8561118202;0
8561118205;0
8561118301;108
8561118302;264
8561118303;120
8561118304;144
8561118401;372
8561118406;48
8561118407;0
8561118408;0
8561118409;0
8561118501;0
8561118502;0
8561118601;72
8561118603;1812
8561118604;3360
8561118701;0
8561118702;0
8561118705;0
8561118801;0
8561118802;96
8561118803;132
8561118805;60
8561118806;36
8561118807;0
8561118808;0
8561118901;0
8561118904;12
8561118905;0
8561118906;0
8561119101;96
8561119102;36
8561119601;0
8561119602;0
8561119801;0
8561119802;96
8561200101;0
8561200103;96
8561200105;0
8561200106;0
8561200201;0
8561200202;72
8561200301;216
8561200302;144
8561200303;84
8561200304;0
8561200305;1332
8561200306;0
8561200307;0
8561200308;0
8561200309;0
8561200310;0
8561200311;24
8561200401;384
8561200404;0
8561200405;12
8561200406;168
8561200501;12
8561200502;0
8561200503;108
8561200504;0
8561200505;0
8561200507;0
8561200601;2436
8561200801;804
8561200805;0
8561200806;0
8561200807;36
8561200901;348
8561201001;12
8561201003;36
8561201004;0
8561201005;36
8561201006;0
8561201101;0
8561201102;12
8561201103;0
8561201301;36
8561201302;48
8561201303;0
8561201304;0
8561201502;0
8561201503;36
8561201509;0
8561201601;48
8561201602;12
8561201603;12
8561201604;72
8561201605;0
8561201608;0
8561201609;252
8561201801;0
8561201802;0
8561201803;0
8561201901;12
8561202001;0
8561202002;24
8561202003;0
8561202004;0
8561202006;0
8561202009;0
8561202010;0
8561202102;1056
8561202103;12
8561202104;0
8561202106;72
8561202107;0
8561202401;0
8561202402;48
8561202403;0
8561202404;0
8561202406;0
8561202408;0
8561202409;0
8561202410;0
8561202501;24
8561202502;0
8561202503;12
8561202504;36
8561202601;0
8561202602;0
8561202603;0
8561202604;0
8561202605;0
8561202606;0
8561202607;0
8561202701;0
8561202702;0
8561202703;0
8561202902;744
8561203001;0
8561203002;12
8561203004;0
8561203006;0
8561203007;0
8561203204;0
8561203301;144
8561203402;180
8561203406;0
8561203407;0
8561203408;0
8561203409;0
8561203501;0
8561203502;132
8561203503;0
8561203504;0
8561203701;0
8561203702;12
8561203705;24
8561203706;0
8561203904;60
8561203905;0
8561204101;204
8561204102;180
8561204105;48
8561204106;0
8561204201;0
8561204301;252
8561204302;144
8561204303;48
8561204305;0
8561204306;12
8561204307;48
8561204308;0
8561204401;48
8561204402;504
8561204405;0
8561204406;0
8561204701;4524
8561204702;108
